Summary,Issue Type,Priority,Labels,Description,Epic Link,Assignee
"Q-011: Number range strategy — preserve original doc numbers?",Sub-task,High,"fi-specification,architecture","Option A: external numbering (preserve BELNR). Option B: internal (new BELNR, original in XBLNR). Option C: dedicated migration interval. Risk of conflicts. Ref: FBN1, NRIV.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"STORY: Open Items vs. Cleared Items (Q-012 to Q-015)",Story,Highest,"fi-specification,clearing","Define treatment of open vs cleared items for AP/AR: what constitutes open, how to recreate clearing, down payments, withholding tax.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-012: What defines an 'open item' at cutover?",Sub-task,Highest,"fi-specification,clearing,scope","Open = no AUGBL at which date (extraction/cutover/go-live)? Partially cleared (residual)? Payment on account? Payment-blocked items? Ref: BSIK, BSID, BSEG-AUGBL.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-013: How to recreate clearing relationships for cleared items?",Sub-task,Highest,"fi-specification,clearing,complexity","BAPI posts as OPEN; clearing must be done separately. Options: load invoice+payment+clear, use LTMC MO, or summarize as GL. Partial payments? Residuals? Ref: AUGBL, F-44/F-32.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-014: Treatment of down payments (Anzahlungen)",Sub-task,High,"fi-specification,special-gl","Down payment requests (noted items) vs payments (F-48/F-37) vs clearing (F-54/F-39). UMSKZ values, alternative recon accounts (T074), tax on advances. In scope?",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-015: Treatment of Withholding Tax (WHT)",Sub-task,High,"fi-specification,tax,wht","Does BAPI support WHT fields (WITH_ITEM)? Recalculate or pass source amounts? WHT certificates impact? Country-specific (BR DARF/DIRF, IN TDS/TCS). Double reporting risk.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"STORY: S/4HANA Data Model — ACDOCA (Q-016 to Q-019)",Story,Highest,"fi-specification,acdoca,data-model","Technical questions about ACDOCA field population, document splitting, parallel currencies, and ledger strategy.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-016: Which ACDOCA fields are mandatory for a valid document?",Sub-task,Highest,"fi-specification,acdoca,blocking","ACDOCA has 400+ fields. Which must be populated for: FAGLL03H visibility, FAGLB03 balances, Financial Statements, CDS Views, Document Splitting? Key: RLDNR, RRCTY, RACCT, PRCTR, SEGMENT, currencies.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-017: Document Splitting — mandatory characteristics?",Sub-task,Highest,"fi-specification,splitting,blocking","Is splitting active? Which characteristics (PRCTR, SEGMENT, GSBER, FKBER)? Zero-balance enforced? What if source docs lack splitting fields? Default values? Derivation? Ref: FAGL_SPLINFO, OB65.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-018: Parallel currencies — which currency types are active?",Sub-task,High,"fi-specification,currency","Currency types 10/30/40/50/60 active? Exchange rate types? Historical rates in TCURR for all periods? Source provides all currencies or convert during loading? Rounding tolerance?",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-019: Ledger strategy — which ledgers receive data?",Sub-task,High,"fi-specification,ledger","Leading ledger 0L always. Extension ledgers (2L IFRS, Z1 local GAAP)? Post to each separately? BAPI multi-ledger support? Source=1 standard, target=2 standards?",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"STORY: Master Data Dependencies (Q-020 to Q-023)",Story,High,"fi-specification,master-data","Prerequisite master data: Business Partner, Chart of Accounts, Tax Codes, Bank Accounts. All must exist before loading.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-020: Business Partner — vendor/customer mapping requirement",Sub-task,Highest,"fi-specification,master-data,bp","BP migration complete before AP/AR? Mapping tables (CVI_VEND_LINK, CVI_CUST_LINK)? One-time vendors (CPD)? Alternative payers (EMPFK)? Intercompany?",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-021: Chart of Accounts — mapping required?",Sub-task,High,"fi-specification,master-data,coa","Target CoA identical to source? If different: mapping table? Decommissioned accounts handling? Group CoA? Country CoA? Ref: SKA1, SKB1, T001-KTOPL.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-022: Tax codes — mapping and handling",Sub-task,High,"fi-specification,master-data,tax","Original tax code or mapped? Recalculate or load exact amounts? Country-specific (BR NF, IN GST, EU OSS)? Historical rate changes vs current validation. Ref: T007A, BSEG-MWSKZ.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-023: Bank accounts and house banks",Sub-task,Medium,"fi-specification,master-data,bank","Payment docs need HBKID/HKTID. House banks must exist (T012)? Partner banks in BP? Payment method config (ZLSCH)? Ref: T012, BNKA.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"STORY: Specific Scenarios & Edge Cases (Q-024 to Q-030)",Story,High,"fi-specification,edge-cases","Intercompany, FC revaluation, GR/IR, profit center derivation, cross-company, special GL, payment program documents.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-024: Intercompany transactions",Sub-task,High,"fi-specification,intercompany","Cross-company postings generate 2+ docs. Load both sides? Trading partner (VBUND)? Multi-company-code documents (BSTAT='V')? Consolidation elimination impact.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-025: Foreign currency revaluation documents",Sub-task,High,"fi-specification,fc-reval","FC reval docs (F.05/FAGL_FC_VAL) in scope? Typically reversed at period start. Loading creates double reval risk. Recommend exclude or include with specific handling?",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-026: GR/IR clearing account handling",Sub-task,Medium,"fi-specification,mm-integration","GR/IR docs created by MM (MIGO/MIRO). In scope? MM-FI link (EBELN/EBELP)? Impact on F.19 analysis? Or handled by separate migration? Ref: WRX account type.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-027: Profit Center / Segment derivation for old documents",Sub-task,Highest,"fi-specification,splitting,derivation","Legacy systems often lack PC on every line. S/4 requires PC for splitting. Derivation options: from account master, from cost center, default, leave blank. Segment from CEPC. Functional Area?",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-028: Documents with multiple company codes (cross-company)",Sub-task,High,"fi-specification,cross-company","BAPI supports multi-company in one call. Load as unified transaction or per company? If separate: intercompany entries won't balance. Must identify cross-company groups.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-029: Noted items and special GL transactions",Sub-task,High,"fi-specification,special-gl","Special GL indicators (UMSKZ): down payments, bills of exchange, guarantees. Which in scope? Alternative recon accounts (T074) must match? Noted items (BSTAT='S')?",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-030: Automatic payment program documents (F110)",Sub-task,Highest,"fi-specification,payments,clearing","Payment docs (KZ/DZ) from F110 include clearing info + bank details. Options: A) load invoice as already cleared, B) load invoice+payment+clear, C) only open items at cutover. Which?",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"STORY: Material Ledger & Valuation (Q-031 to Q-032)",Story,Medium,"fi-specification,ml,valuation","Material Ledger and transfer pricing document handling. ML is mandatory in S/4HANA.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-031: Material Ledger historic data migration",Sub-task,Medium,"fi-specification,ml","ML mandatory in S/4. ML creates FI docs (PRDI, CKMLCP). In scope? How without running actual costing? MATNR/BWKEY must exist? ACDOCA-MLCATEG value? Separate ML migration?",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-032: Transfer pricing documents (Profit Center Valuation)",Sub-task,Medium,"fi-specification,transfer-pricing","Non-leading ledger for transfer pricing? Must we load delta entries? How to derive valuation differences from source? Ref: ACDOCA-RLDNR, ledger 2L/L1.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"STORY: Technical Integration Points (Q-033 to Q-036)",Story,High,"fi-specification,integration,side-effects","ALE/IDocs, workflows, bank communication, cloud deployment model impact.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-033: ALE / IDoc / Change Pointer impact",Sub-task,High,"fi-specification,ale,side-effects","FI posting triggers change pointers (BD50) → IDocs flood downstream. Which message types? Must deactivate? FIDCCP, ACC_DOCUMENT? Output types (NAST)?",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-034: Workflow and notification triggers",Sub-task,High,"fi-specification,workflow,side-effects","Workflows triggered by FI doc creation? Invoice approval WF? Business Transaction Events (BTE via FIBF)? Deactivate SWE2 event linkages during loading?",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-035: Bank Communication Management (BCM) impact",Sub-task,Medium,"fi-specification,bank,side-effects","Payment docs create FEBEP entries? Bank reconciliation phantom items? Cash management position (FF_5) affected? Exclude bank-relevant docs?",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-036: S/4HANA Cloud deployment model support",Sub-task,High,"fi-specification,cloud,platform","On-premise only or also Public Cloud? Public Cloud: no SE16, no custom tables (only key user ext.), LTMC only, no custom BAPIs. RISE private managed? Clean Core impact?",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"STORY: Reconciliation & Validation (Q-037 to Q-038)",Story,High,"fi-specification,reconciliation","Define what constitutes successful reconciliation and how to handle expected differences from excluded items.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-037: What constitutes a 'successful reconciliation'?",Sub-task,Highest,"fi-specification,reconciliation,acceptance","Define pass/fail per level: document (debit=credit), account/period (balance match ±tolerance), subledger↔GL recon account, cross-module trial balance, audit sample size.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-038: How to handle reconciliation differences from excluded items?",Sub-task,High,"fi-specification,reconciliation","If doc types excluded from scope: trial balance won't match 100%. Need reconciliation adjustment calc: Target = Source - Excluded. Who defines/signs off exclusion list?",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"STORY: Operational & Cutover (Q-039 to Q-042)",Story,High,"fi-specification,operational,cutover","Period opening/closing, parallel execution, prerequisites, post-processing steps.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-039: Period opening/closing procedure",Sub-task,High,"fi-specification,operational,periods","Open ALL periods simultaneously or sequential? Security (BRGRU restriction to migration user only)? Fiscal year carryforward impact (FAGL_FC_CARRY_FORWARD)? Ref: OB52, T001B.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-040: Parallel execution / concurrency",Sub-task,High,"fi-specification,performance","Lock objects during BAPI posting? (BKPF company/year, number range, vendor/customer master). GL+AP+AR simultaneously? Max parallelism? Background vs dialog? Ref: SM50, SM66.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-041: Cutover sequence — prerequisites before loading",Sub-task,High,"fi-specification,operational,prerequisites","Confirm ALL prerequisites: CoA, Profit Centers, Cost Centers, BP, Banks, Tax codes, Doc types, NR ranges, Fiscal year, Exchange rates, Splitting config, Periods, Auth role. Anything else?",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-042: Post-processing after loading",Sub-task,High,"fi-specification,operational,post-processing","After loading: close periods, balance carryforward, recalculate totals (F.5E), credit mgmt update (FCV1), dunning levels, rebuild indexes, reactivate change pointers, lock user.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"STORY: Clean Core & Compliance (Q-043 to Q-044)",Story,Highest,"fi-specification,clean-core","Verify C1-Released APIs, ATC scan requirements, Tier 1 compliance.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-043: Which APIs are C1-Released for this use case?",Sub-task,Highest,"fi-specification,clean-core,api","Confirm Released status: BAPI_ACC_DOCUMENT_POST/CHECK/REV_POST, CDS Views I_JournalEntry/I_GLAccountLineItem/I_SupplierLineItem/I_CustomerLineItem, CL_BAL_LOG. Alternative if not released?",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-044: ATC scan requirements for delivered code",Sub-task,High,"fi-specification,clean-core,atc","Must pass ATC variant ABAP_CLOUD_READINESS? Custom tables under Tier 1? RAP-managed vs classic? CL_BAL_LOG released? Development constraints.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"STORY: Risk & Edge Cases (Q-045 to Q-048)",Story,High,"fi-specification,risk","Documents without S/4 equivalent, reversal handling, tolerance/credit limits, archiving impact.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-045: Documents with no equivalent posting logic in S/4?",Sub-task,High,"fi-specification,risk","Obsolete transactions (FB70/FB75), deprecated account types, eliminated posting keys, classic GL objects. Fallback: reject? adapt? transform?",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-046: Reversal documents handling",Sub-task,High,"fi-specification,reversal","Source has Doc A + Reversal B. Options: load both (audit trail), load neither (net zero reduces volume), load net only. Partial reversals? Cross-year reversals? STGRD reason code?",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-047: Tolerance limits and credit limits during loading",Sub-task,High,"fi-specification,limits","OBA4 posting tolerances apply via BAPI? Payment difference tolerances? Credit limit (FD32) exceeded by loading 5 years of AR? How to bypass? ZTERM validation?",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-048: Archiving impact on loaded data",Sub-task,Medium,"fi-specification,archiving","Docs from 2015-2020 loaded in 2026: residence time already exceeded. Next archiving run archives just-loaded data. How to protect? FI_DOCUMNT config? Exclude migration range?",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"STORY: Country-Specific Requirements (Q-049 to Q-050)",Story,High,"fi-specification,localization","Country-specific fields, legal requirements, electronic invoicing compliance per country.",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-049: Country-specific fields and legal requirements",Sub-task,High,"fi-specification,localization","Which countries in v1? Brazil (NF-e, SPED), India (GST, TDS), Mexico (CFDI), Argentina (CUIT), USA (1099), EU (VAT), China (Golden Tax). Support ALL country fields or define supported countries?",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
"Q-050: Electronic invoicing compliance",Sub-task,High,"fi-specification,localization,e-invoice","Historical posting triggers e-invoice submission (BR NF-e, MX CFDI, IN e-Invoice)? How to prevent? Must populate external reference (UUID/chave de acesso)?",EPIC: FI Technical Specification — Historic AP/AR/GL Loading,FI Consultant Team
